"user_id","client_Model","client_OS","client_City","client_StateOrProvince","client_CountryOrRegion","client_Browser"
"MT_1516668725867",LGLS775,"Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516668879395",Pixel,"Android 8.1",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516667096572",iPhone,"iOS 11.0",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 11.0"
"MT_1516666370900",iPhone,"iOS 10.3",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 10.0"
"MT_1516664997318",E600A,"Android 4.4",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516665144618","Samsung SM-G900V","Android 6.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516665193668",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 11.0"
"MT_1516664935436","Samsung SM-G935P","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516664199440",iPhone,"iOS 10.3",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 10.0"
"MT_1516664139863","Moto G (5) Plus","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516663899199",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 11.0"
"MT_1516663882801",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile iOS 63.0"
"MT_1516663578942",VS986,"Android 6.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516662810717","Moto G (4)","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516662844477",iPhone,"iOS 10.3",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 10.0"
"MT_1516662721911","Moto G (5) Plus","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516661742151",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 11.0"
"MT_1516662982451","Generic Smartphone","Android 8.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516662044469",iPhone,"iOS 11.0",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 11.0"
"MT_1516662030565","LG-H871","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516661687544",Z981,"Android 6.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516661620966","Samsung SM-G920P","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1516661667465",iPhone,"iOS 11.1",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 11.0"
"MT_1516661584025",MotoG3,"Android 6.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1517516251068","Samsung SCH-I545","Android 5.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 64.0"
