"user_id","client_Model","client_OS","client_City","client_StateOrProvince","client_CountryOrRegion","client_Browser"
"P_1517356861687","Nexus 5X","Android 8.1",,,"United States","Chrome Mobile 63.0"
"P_1517351269573",LGL164VL,"Android 7.0",,,"United States","Chrome Mobile 63.0"
"P_1517350268415","Samsung SM-G950U","Android 7.0",,,"United States","Chrome Mobile 64.0"
"P_1517347393432","Samsung SM-J727T","Android 7.0",,,"United States","Chrome Mobile 64.0"
"P_1517343480012",iPhone,"iOS 11.2",,,"United States","Mobile Safari 11.0"
"P_1517346609519","LG-H932","Android 7.1",,,"United States","Chrome Mobile 63.0"
"P_1517345550946","Nexus 5X","Android 8.0",,,"United States","Chrome Mobile 64.0"
"P_1517345714516",iPhone,"iOS 11.1",,,"United States","Mobile Safari 11.0"
"P_1517345416401","Nexus 5","Android 6.0",,,"United States","Chrome Mobile 63.0"
"P_1517343784337","LG-H810","Android 6.0",,,"United States","Chrome Mobile 63.0"
"P_1517344310912","Nexus 5","Android 6.0",,,"United States","Chrome Mobile 63.0"
"P_1517343848564",LGL163BL,"Android 7.0",,,"United States","Chrome Mobile 64.0"
"P_1517343643444",LGMS631,"Android 6.0",,,"United States","Chrome Mobile 63.0"
"P_1517342784692","P2 Lite","Android 7.0",,,"United States","Chrome Mobile 64.0"
"P_1517342518039",iPod,"iOS 11.1",,,"United States","Mobile Safari 11.0"
"P_1517342269092","LG-LS993","Android 7.0",,,"United States","Chrome Mobile 63.0"
"P_1517342005284",D6616,"Android 5.0",,,"United States","Chrome Mobile 58.0"
"P_1517341737328",XT1575,"Android 7.0",,,"United States","Chrome Mobile 63.0"
"P_1517341018041",iPhone,"iOS 10.3",,,"United States","Mobile Safari 10.0"
"P_1517341330885","TG-L800S","Android 6.0",,,"United States","Chrome Mobile 59.0"
"P_1517340638888",iPhone,"iOS 10.3",,,"United States","Mobile Safari 10.0"
"P_1517341846778","Moto G (4)","Android 7.0",,,"United States","Chrome Mobile 64.0"
"P_1517341129301",iPhone,"iOS 10.0",,,"United States","Mobile Safari 10.0"
"P_1517341736555","Moto G (4)","Android 7.0",,,"United States","Chrome Mobile 63.0"
"P_1517340128309",iPhone,"iOS 10.3",,,"United States","Chrome Mobile iOS 64.0"
"P_1517341727520","Samsung SM-G935V","Android 7.0",,,"United States","Chrome Mobile 64.0"
"P_1517340789975","Pixel XL","Android 8.1",,,"United States","Chrome Mobile 64.0"
"P_1517341168609",iPhone,"iOS 11.2",,,"United States","Chrome Mobile iOS 61.0"
"P_1517340186350",iPhone,"iOS 11.2",,,"United States","Mobile Safari 11.0"
"P_1517340178605",iPhone,"iOS 11.2",,,"United States","Mobile Safari 11.0"
"P_1517340655562",XT1060,"Android 5.1",,,"United States","Chrome Mobile 64.0"
"P_1517340723705",E6810,"Android 7.1",,,"United States","Chrome Mobile 63.0"
"P_1517340233860","Nexus 6","Android 7.0",,,"United States","Chrome Mobile 63.0"
"P_1517340144241","Samsung SM-G930A","Android 7.0",,,"United States","Chrome Mobile 63.0"
"P_1517340200231",LGMP260,"Android 7.0",,,"United States","Chrome Mobile 58.0"
"P_1517340330947","Samsung SM-G935U","Android 7.0",,,"United States","Chrome Mobile 64.0"
"P_1517340286174","Samsung SM-G930A","Android 7.0",,,"United States","Chrome Mobile 63.0"
"P_1517340354080","Samsung SM-G900V","Android 6.0",,,"United States","Chrome Mobile 64.0"
"P_1517340275438","Pixel XL","Android 8.1",,,"United States","Chrome Mobile 64.0"
"P_1517340125174","Moto G (5) Plus","Android 7.0",,,"United States","Chrome Mobile 63.0"
"P_1517340188628","Samsung SM-G930R7","Android 7.0",,,"United States","Chrome Mobile 64.0"
"P_1517340203241",iPhone,"iOS 11.2",,,"United States","Mobile Safari 11.0"
"P_1517340166057",iPhone,"iOS 11.2",,,"United States","Mobile Safari 11.0"
"P_1517340152594","Huawei Nexus 6P","Android 7.1",,,"United States","Chrome Mobile 63.0"
"P_1517340161929",iPhone,"iOS 10.3",,,"United States","Mobile Safari 10.0"
"P_1517340117557",iPhone,"iOS 11.2",,,"United States","Mobile Safari 11.0"
